Statistical profiling result from isolate-0x3b1d1d0-v8.log, (18768 ticks, 123 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     80    0.4%          /lib/x86_64-linux-gnu/libc-2.23.so
     10    0.1%          [vdso]
      3    0.0%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21
      2    0.0%          /lib/x86_64-linux-gnu/libpthread-2.23.so
      2    0.0%          /lib/x86_64-linux-gnu/libm-2.23.so

 [JavaScript]:
   ticks  total  nonlib   name
  13886   74.0%   74.4%  LazyCompile: *_encipher /home/adam/VSCode/NodeAPP/node_modules/bcryptjs/dist/bcrypt.js:959:23
   1268    6.8%    6.8%  LazyCompile: *next /home/adam/VSCode/NodeAPP/node_modules/bcryptjs/dist/bcrypt.js:1210:22
    155    0.8%    0.8%  Builtin: SetPrototypeAdd
     74    0.4%    0.4%  Builtin: InterpreterEntryTrampoline
     51    0.3%    0.3%  Script: ~<anonymous> /home/adam/VSCode/NodeAPP/node_modules/saslprep/lib/code-points.js:1:11
     51    0.3%    0.3%  LazyCompile: *_key /home/adam/VSCode/NodeAPP/node_modules/bcryptjs/dist/bcrypt.js:1096:18
     23    0.1%    0.1%  LazyCompile: ~fill native array.js:837:46
     19    0.1%    0.1%  Builtin: Call_ReceiverIsAny
     17    0.1%    0.1%  Builtin: ArrayIteratorPrototypeNext
     16    0.1%    0.1%  Builtin: CallFunction_ReceiverIsAny
     15    0.1%    0.1%  Builtin: StoreIC
     14    0.1%    0.1%  LazyCompile: *normalizeString path.js:57:25
     12    0.1%    0.1%  Builtin: KeyedStoreIC
     12    0.1%    0.1%  Builtin: KeyedLoadIC
     11    0.1%    0.1%  Builtin: KeyedLoadIC_Megamorphic
      9    0.0%    0.0%  Stub: StringAddStub
      8    0.0%    0.0%  LazyCompile: ~realpathSync fs.js:1640:40
      8    0.0%    0.0%  Builtin: CopyFastSmiOrObjectElements
      7    0.0%    0.0%  LazyCompile: ~emitPromiseRejectionWarnings internal/process/promises.js:88:38
      7    0.0%    0.0%  LazyCompile: ~_encipher /home/adam/VSCode/NodeAPP/node_modules/bcryptjs/dist/bcrypt.js:959:23
      7    0.0%    0.0%  LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:220:28
      7    0.0%    0.0%  Builtin: ArgumentsAdaptorTrampoline
      6    0.0%    0.0%  Stub: CEntryStub {1}
      6    0.0%    0.0%  LazyCompile: ~<anonymous> /home/adam/VSCode/NodeAPP/node_modules/async-listener/glue.js:162:21
      6    0.0%    0.0%  Builtin: LoadIC_Uninitialized
      6    0.0%    0.0%  Builtin: FastNewClosure
      5    0.0%    0.0%  LazyCompile: ~normalizeString path.js:57:25
      5    0.0%    0.0%  LazyCompile: ~_tickCallback internal/process/next_tick.js:41:25
      5    0.0%    0.0%  Builtin: KeyedStoreIC_Megamorphic
      4    0.0%    0.0%  LazyCompile: ~_extend util.js:1196:17
      4    0.0%    0.0%  LazyCompile: ~QuickSort native array.js:564:19
      4    0.0%    0.0%  LazyCompile: ~NativeModule.exists internal/bootstrap/loaders.js:174:33
      4    0.0%    0.0%  LazyCompile: ~Module.load internal/modules/cjs/loader.js:603:33
      4    0.0%    0.0%  LazyCompile: ~Module._compile internal/modules/cjs/loader.js:663:37
      4    0.0%    0.0%  LazyCompile: *<anonymous> /home/adam/VSCode/NodeAPP/node_modules/async-listener/glue.js:162:21
      4    0.0%    0.0%  Builtin: StoreIC_Uninitialized
      4    0.0%    0.0%  Builtin: KeyedLoadIC_PolymorphicName
      4    0.0%    0.0%  Builtin: GrowFastSmiOrObjectElements
      4    0.0%    0.0%  Builtin: ArrayPrototypePush
      3    0.0%    0.0%  Stub: CEntryStub
      3    0.0%    0.0%  LazyCompile: ~updateChildren internal/modules/cjs/loader.js:96:24
      3    0.0%    0.0%  LazyCompile: ~union /home/adam/VSCode/NodeAPP/node_modules/async-listener/glue.js:60:15
      3    0.0%    0.0%  LazyCompile: ~toString buffer.js:642:46
      3    0.0%    0.0%  LazyCompile: ~resolve path.js:1075:28
      3    0.0%    0.0%  LazyCompile: ~require internal/modules/cjs/helpers.js:17:19
      3    0.0%    0.0%  LazyCompile: ~processImmediate timers.js:625:26
      3    0.0%    0.0%  LazyCompile: ~nextPart fs.js:1636:31
      3    0.0%    0.0%  LazyCompile: ~handleErrorFromBinding fs.js:139:32
      3    0.0%    0.0%  LazyCompile: ~getActiveSegment /home/adam/VSCode/NodeAPP/node_modules/newrelic/lib/shim/shim.js:1293:26
      3    0.0%    0.0%  LazyCompile: ~fs.readFileSync fs.js:480:27
      3    0.0%    0.0%  LazyCompile: ~extname path.js:1374:28
      3    0.0%    0.0%  LazyCompile: ~_wrap /home/adam/VSCode/NodeAPP/node_modules/newrelic/lib/shim/shim.js:1968:15
      3    0.0%    0.0%  LazyCompile: ~Module._resolveLookupPaths internal/modules/cjs/loader.js:400:38
      3    0.0%    0.0%  LazyCompile: ~Module._load internal/modules/cjs/loader.js:502:24
      3    0.0%    0.0%  Builtin: SetConstructor
      3    0.0%    0.0%  Builtin: LoadIC_Noninlined
      3    0.0%    0.0%  Builtin: LoadIC
      2    0.0%    0.0%  Stub: JSEntryStub
      2    0.0%    0.0%  LazyCompile: ~write buffer.js:897:40
