Statistical profiling result from isolate-0x42271d0-v8.log, (3873 ticks, 47 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     70    1.8%          /lib/x86_64-linux-gnu/libc-2.23.so
      7    0.2%          /lib/x86_64-linux-gnu/libpthread-2.23.so
      5    0.1%          /usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.21
      1    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
    136    3.5%    3.6%  Builtin: SetPrototypeAdd
     60    1.5%    1.6%  Builtin: InterpreterEntryTrampoline
     49    1.3%    1.3%  Script: ~<anonymous> /home/adam/VSCode/NodeAPP/node_modules/saslprep/lib/code-points.js:1:11
     23    0.6%    0.6%  LazyCompile: ~fill native array.js:837:46
     22    0.6%    0.6%  Builtin: StoreIC
     22    0.6%    0.6%  Builtin: CallFunction_ReceiverIsAny
     19    0.5%    0.5%  Builtin: Call_ReceiverIsAny
     17    0.4%    0.4%  Builtin: KeyedLoadIC
     16    0.4%    0.4%  Builtin: ArrayIteratorPrototypeNext
     12    0.3%    0.3%  Builtin: KeyedStoreIC_Megamorphic
     11    0.3%    0.3%  Stub: StringAddStub
      9    0.2%    0.2%  Builtin: KeyedStoreIC
      8    0.2%    0.2%  LazyCompile: *normalizeString path.js:57:25
      6    0.2%    0.2%  Stub: CEntryStub {2}
      6    0.2%    0.2%  Builtin: KeyedLoadIC_Megamorphic
      5    0.1%    0.1%  LazyCompile: ~wrappedProcess /home/adam/VSCode/NodeAPP/node_modules/newrelic/lib/instrumentation/core/timers.js:12:37
      5    0.1%    0.1%  LazyCompile: ~realpathSync fs.js:1640:40
      5    0.1%    0.1%  LazyCompile: ~Module._resolveLookupPaths internal/modules/cjs/loader.js:400:38
      5    0.1%    0.1%  LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:220:28
      4    0.1%    0.1%  Stub: CEntryStub {1}
      4    0.1%    0.1%  LazyCompile: ~wrapCallback /home/adam/VSCode/NodeAPP/node_modules/async-listener/glue.js:391:22
      4    0.1%    0.1%  LazyCompile: ~getOptions internal/fs/utils.js:54:20
      4    0.1%    0.1%  LazyCompile: ~fs.readFileSync fs.js:480:27
      4    0.1%    0.1%  LazyCompile: ~emitPromiseRejectionWarnings internal/process/promises.js:88:38
      4    0.1%    0.1%  LazyCompile: ~DoJoin native array.js:93:16
      4    0.1%    0.1%  LazyCompile: *resolve path.js:1075:28
      4    0.1%    0.1%  LazyCompile: *<anonymous> /home/adam/VSCode/NodeAPP/node_modules/async-listener/glue.js:162:21
      4    0.1%    0.1%  Builtin: SetConstructor
      4    0.1%    0.1%  Builtin: ObjectPrototypeHasOwnProperty
      4    0.1%    0.1%  Builtin: LoadIC_Noninlined
      4    0.1%    0.1%  Builtin: FindOrderedHashMapEntry
      4    0.1%    0.1%  Builtin: CompileLazy
      4    0.1%    0.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
      3    0.1%    0.1%  LazyCompile: ~stringSlice buffer.js:588:21
      3    0.1%    0.1%  LazyCompile: ~resolve path.js:1075:28
      3    0.1%    0.1%  LazyCompile: ~recordFs /home/adam/VSCode/NodeAPP/node_modules/newrelic/lib/instrumentation/core/fs.js:97:20
      3    0.1%    0.1%  LazyCompile: ~normalizeString path.js:57:25
      3    0.1%    0.1%  LazyCompile: ~gotStat fs.js:1859:19
      3    0.1%    0.1%  LazyCompile: ~fs.readSync fs.js:613:23
      3    0.1%    0.1%  LazyCompile: ~dirname path.js:1269:28
      3    0.1%    0.1%  LazyCompile: ~beforeHook /home/adam/VSCode/NodeAPP/node_modules/newrelic/lib/instrumentation/core/async_hooks.js:67:32
      3    0.1%    0.1%  LazyCompile: ~aB native array.js:522:12
      3    0.1%    0.1%  LazyCompile: ~QuickSort native array.js:564:19
      3    0.1%    0.1%  LazyCompile: ~LOOP fs.js:1827:16
      3    0.1%    0.1%  LazyCompile: ~<anonymous> /home/adam/VSCode/NodeAPP/node_modules/async-listener/glue.js:162:21
      3    0.1%    0.1%  LazyCompile: *getStatsFromBinding internal/fs/utils.js:209:29
      3    0.1%    0.1%  LazyCompile: *dirname path.js:1269:28
      3    0.1%    0.1%  Builtin: StringSubstring
      3    0.1%    0.1%  Builtin: StoreIC_Uninitialized
      3    0.1%    0.1%  Builtin: RecordWrite
      3    0.1%    0.1%  Builtin: LoadIC_Uninitialized
      3    0.1%    0.1%  Builtin: LoadIC
      3    0.1%    0.1%  Builtin: FastNewClosure
      2    0.1%    0.1%  Stub: StoreFastElementStub {2}
      2    0.1%    0.1%  Stub: GetPropertyStub
      2    0.1%    0.1%  LazyCompile: ~wrapper /home/adam/VSCode/NodeAPP/node_modules/newrelic/lib/shim/shim.js:891:28
      2    0.1%    0.1%  LazyCompile: ~wrap /home/adam/VSCode/NodeAPP/node_modules/newrelic/lib/shim/shim.js:576:14
      2    0.1%    0.1%  LazyCompile: ~validatePath internal/fs/utils.js:398:22
      2    0.1%    0.1%  LazyCompile: ~updateChildren internal/modules/cjs/loader.js:96:24
      2    0.1%    0.1%  LazyCompile: ~tryFile internal/modules/cjs/loader.js:193:17
      2    0.1%    0.1%  LazyCompile: ~toString buffer.js:642:46
      2    0.1%    0.1%  LazyCompile: ~stripShebang internal/modules/cjs/helpers.js:69:22
      2    0.1%    0.1%  LazyCompile: ~require internal/modules/cjs/helpers.js:17:19
      2    0.1%    0.1%  LazyCompile: ~readFileAfterRead fs.js:395:27
      2    0.1%    0.1%  LazyCompile: ~range /home/adam/VSCode/NodeAPP/node_modules/saslprep/lib/util.js:3:15
      2    0.1%    0.1%  LazyCompile: ~push internal/fixed_queue.js:95:7
      2    0.1%    0.1%  LazyCompile: ~popAsyncIds internal/async_hooks.js:402:21
      2    0.1%    0.1%  LazyCompile: ~nextTick internal/process/next_tick.js:96:20
      2    0.1%    0.1%  LazyCompile: ~match /home/adam/VSCode/NodeAPP/node_modules/express/lib/router/layer.js:110:39
      2    0.1%    0.1%  LazyCompile: ~isEncoding buffer.js:448:40
      2    0.1%    0.1%  LazyCompile: ~handleErrorFromBinding fs.js:139:32
      2    0.1%    0.1%  LazyCompile: ~getStatsFromBinding internal/fs/utils.js:209:29
      2    0.1%    0.1%  LazyCompile: ~getPathFromURL internal/url.js:1395:24
      2    0.1%    0.1%  LazyCompile: ~getActiveSegment /home/adam/VSCode/NodeAPP/node_modules/newrelic/lib/shim/shim.js:1293:26
      2    0.1%    0.1%  LazyCompile: ~fn internal/async_hooks.js:163:22
      2    0.1%    0.1%  LazyCompile: ~fallback /home/adam/VSCode/NodeAPP/node_modules/async-listener/index.js:610:27
      2    0.1%    0.1%  LazyCompile: ~emitInitNative internal/async_hooks.js:131:24
      2    0.1%    0.1%  LazyCompile: ~emitAfterScript internal/async_hooks.js:354:25
      2    0.1%    0.1%  LazyCompile: ~args internal/util/types.js:11:10
      2    0.1%    0.1%  LazyCompile: ~afterHook /home/adam/VSCode/NodeAPP/node_modules/newrelic/lib/instrumentation/core/async_hooks.js:77:30
      2    0.1%    0.1%  LazyCompile: ~_tickCallback internal/process/next_tick.js:41:25
